log_id,user_id,food_id,servings,taken_at,meal_type,calories
1092,59,108,1.5,2025-10-19T21:43:21,lunch,286.5
1093,6,117,1.0,2025-10-09T23:28:41,dinner,232.0
1094,37,108,0.5,2025-10-21T13:55:31,dinner,95.5
1095,44,119,1.0,2025-10-07T08:58:18,breakfast,295.0
1096,2,113,0.5,2025-10-24T07:36:22,lunch,142.0
1097,27,108,1.5,2025-10-08T01:46:43,dinner,286.5
1098,22,104,2.0,2025-10-01T12:11:33,snack,278.0
1099,17,117,2.0,2025-10-09T03:24:11,lunch,464.0
1100,46,112,1.0,2025-10-05T10:33:16,dinner,123.0
1101,14,110,1.0,2025-10-17T07:40:20,breakfast,249.0
1102,16,111,1.5,2025-10-02T19:37:18,dinner,180.0
1103,43,102,1.0,2025-10-06T00:25:28,snack,271.0
1104,24,118,1.0,2025-10-08T08:34:44,snack,273.0
1105,3,110,1.0,2025-10-11T21:14:18,breakfast,249.0
1106,16,107,1.5,2025-10-23T11:08:59,snack,385.5
1107,57,111,2.0,2025-10-22T03:13:32,lunch,240.0
1108,12,101,1.5,2025-10-10T23:58:24,breakfast,409.5
1109,60,108,0.5,2025-10-20T21:28:11,lunch,95.5
1110,29,118,0.5,2025-10-04T03:28:07,lunch,136.5
1111,50,101,0.5,2025-10-03T23:40:31,lunch,136.5
1112,20,109,1.0,2025-10-08T14:44:25,snack,287.0
1113,19,105,1.0,2025-10-06T19:16:11,breakfast,277.0
1114,46,111,1.5,2025-10-23T15:29:37,dinner,180.0
1115,24,113,1.5,2025-10-05T15:11:32,breakfast,426.0
1116,51,112,1.0,2025-10-07T18:30:19,lunch,123.0
1117,27,115,1.0,2025-10-03T05:58:35,breakfast,171.0
1118,17,106,1.0,2025-10-18T16:11:13,lunch,192.0
1119,54,107,2.0,2025-10-22T14:01:29,dinner,514.0
1120,60,104,2.0,2025-10-11T06:24:51,breakfast,278.0
1121,15,115,1.0,2025-10-12T20:37:12,snack,171.0
1122,8,108,0.5,2025-10-12T15:56:59,dinner,95.5
1123,48,110,0.5,2025-10-22T04:30:06,breakfast,124.5
1124,34,116,1.0,2025-10-17T19:49:35,breakfast,90.0
1125,46,119,0.5,2025-10-08T04:36:52,snack,147.5
1126,42,108,2.0,2025-10-05T14:09:43,lunch,382.0
1127,11,116,0.5,2025-10-01T17:06:59,breakfast,45.0
1128,40,111,0.5,2025-10-15T09:50:18,snack,60.0
1129,32,109,1.0,2025-10-17T03:25:39,breakfast,287.0
1130,53,119,0.5,2025-10-20T16:51:46,dinner,147.5
1131,23,106,1.0,2025-10-18T00:36:02,lunch,192.0
1132,1,119,2.0,2025-10-12T08:41:27,snack,590.0
1133,18,109,1.5,2025-10-04T04:55:28,snack,430.5
1134,2,115,1.0,2025-10-04T01:31:21,lunch,171.0
1135,6,120,0.5,2025-10-27T22:59:25,breakfast,63.5
1136,55,101,0.5,2025-10-04T09:16:04,dinner,136.5
1137,23,104,1.5,2025-10-06T14:32:30,breakfast,208.5
1138,22,108,1.5,2025-10-13T08:53:39,lunch,286.5
1139,11,113,0.5,2025-10-15T05:37:24,dinner,142.0
1140,42,113,1.0,2025-10-12T15:10:51,lunch,284.0
1141,12,117,1.0,2025-10-07T07:46:07,dinner,232.0
1142,16,101,1.0,2025-10-28T07:20:35,dinner,273.0
1143,14,101,1.0,2025-10-01T06:56:14,snack,273.0
1144,36,102,1.0,2025-10-27T14:47:51,snack,271.0
1145,20,116,1.5,2025-10-14T00:43:23,dinner,135.0
1146,45,103,0.5,2025-10-21T16:21:05,snack,120.0
1147,54,115,1.0,2025-10-28T04:49:56,dinner,171.0
1148,44,116,1.5,2025-10-19T02:27:13,dinner,135.0
1149,40,102,1.0,2025-10-19T05:47:34,breakfast,271.0
1150,10,112,1.5,2025-10-07T13:45:12,breakfast,184.5
